university_id,degree_name,merit_formula,eligibility_pct,url
1,BBA,Available upon contact,45,https://www.abasyn.edu.pk/
1,BS Biotechnology,Available upon contact,45,https://www.abasyn.edu.pk/
1,BS Computer Science,Available upon contact,45,https://www.abasyn.edu.pk/
1,BS Economics,Available upon contact,45,https://www.abasyn.edu.pk/
2,BS Biochemistry,Available upon contact,,https://www.ilmkidunya.com/colleges/abbottabad-university-of-science-and-technology-aust-abbottabad-merit-lists.aspx
2,BS Biotechnology,Available upon contact,,https://www.eduvision.edu.pk/admissions/abbottabad-university-of-science-and-technology-abbottabad-admissions-bachelor-level-1440821050
2,BS Commerce,Available upon contact,,https://www.eduvision.edu.pk/admissions/abbottabad-university-of-science-and-technology-abbottabad-admissions-bachelor-level-1440821050
2,BS Physiotherapy,Available upon contact,,https://www.eduvision.edu.pk/admissions/abbottabad-university-of-science-and-technology-abbottabad-admissions-bachelor-level-1440821050
2,BS Political Science,Available upon contact,,https://www.eduvision.edu.pk/admissions/abbottabad-university-of-science-and-technology-abbottabad-admissions-bachelor-level-1440821050
3,BBA (Honours),"~46-58% (informal reports from past cycles, unverified)",,https://www.result.pk/merit-list/abdul-wali-khan-university-mardan/bba/mardan-latest/
3,BS Artificial Intelligence,Available upon contact,,https://www.result.pk/merit-list/abdul-wali-khan-university-mardan/bs-artificial-intelligence/mardan-latest/
3,BS Computer Science,Available upon contact,,https://awkumpk.blogspot.com/2016/09/merit-list-of-bs-undergraduate.html
3,BS Microbiology / Biotechnology,Available upon contact,,https://awkumpk.blogspot.com/2016/09/merit-list-of-bs-undergraduate.html
3,Pharm-D,Available upon contact,,https://awkumpk.blogspot.com/2016/09/merit-list-of-bs-undergraduate.html
4,BScM (Bachelor of Science in Midwifery),Available upon contact,60,https://www.aku.edu/admissions/Documents/admission-information-BScM-ke.pdf
4,BScN (Post-RN Bachelor of Science in Nursing),Available upon contact,60,https://www.aku.edu/admissions/Documents/programme-information-sonam-tz.pdf
4,MBBS,Available upon contact (holistic: AKU Admission Test + academics + leadership potential),70,https://blog.maqsad.io/blog/how-to-get-admission-in-aku
5,BS Computer Science,"~65% (2025 estimate, Islamabad campus)",50,https://www.au.edu.pk/pages/admission/eligibility_criteria.aspx
