name,provider,provinces,basis,provider_type,eligibility_raw,income_cap_pkr,min_merit_pct,coverage,source_url
Benazir/Ehsaas Undergraduate Scholarship Program,Higher Education Commission (HEC) / BISP,Federal / National,Need + Merit,Government,"Newly enrolled undergrad students at HEC-recognized public universities; family income ≤ PKR 45,000/month",45000,,"Full tuition + registration/exam/library fees + ~PKR 4,000/month stipend",https://ehsaas.hec.gov.pk
HEC Need Based Scholarship Program (NBS),Higher Education Commission (HEC),Federal / National,Need-based,Government,Financially disadvantaged students at participating public sector universities,,,Tuition fee + stipend,https://www.hec.gov.pk/english/scholarshipsgrants/NBS/Pages/default.aspx
Pak-USAID Merit and Needs-Based Scholarship Program,USAID + HEC,Federal / National,Need + Merit,Government,"Talented, financially disadvantaged students at partner universities",,,Full/partial tuition + financial support,https://www.hec.gov.pk/english/scholarshipsgrants/USAID-NeedsBased/Pages/default.aspx
"HEC Learning Opportunities Abroad (Chinese Govt, Commonwealth, Hungarian etc.)","HEC (foreign-funded, via diplomatic channel)","Azad Jammu & Kashmir, Federal / National, International",Merit-based,International,Pakistani/AJK nationals meeting HAT/USAT test requirements,,,Full/partial funding per host country,https://www.hec.gov.pk/english/scholarshipsgrants/lao/pages/default.aspx
Pakistan Bait-ul-Mal (PBM) Individual Financial Assistance - Education,Pakistan Bait-ul-Mal (federal),Federal / National,Need-based,Government,Poor/orphaned/disabled students in GOVERNMENT institutions only (not self-finance/private),,,"Direct fee payment to institution, up to ~PKR 150,000/year",https://www.pbm.gov.pk/education.html
Federal Employees Benevolent & Group Insurance Fund (FEB&GIF) - Educational Stipend/Fee Reimbursement,FEB&GIF (Establishment Division),Federal / National,Merit-based,Government,Children of serving/retired/deceased federal govt employees,,,"Stipend ~PKR 20,000-40,000/yr; fee reimbursement up to ~PKR 100,000/yr for professional degrees",https://febgif.gov.pk
Workers Welfare Fund (WWF) Education Scholarship,Workers Welfare Fund (federal),Federal / National,Need-based,Government,Children of registered industrial workers (3+ yrs registration),,,"Free tuition/admission/hostel/exam fees + monthly stipend, up to postgrad",https://wwf.gov.pk
IGNITE / Prime Minister's National ICT Scholarship Program,"Ignite National Technology Fund, Ministry of IT",Federal / National,Need + Merit,Government,Students admitted to 4-yr undergrad ICT-discipline degrees,,,Full tuition + boarding + book/food allowance + stipend for 4 years,https://ignite.org.pk/prime-ministers-national-ict-scholarship-program/
Allama Muhammad Iqbal Scholarships for Afghan Student (Phase-III),HEC + Ministry of Foreign Affairs,Federal / National,Merit-based,Government,"Afghan nationals, 12 yrs schooling for UG entry (NOT for Pakistani citizens)",,,Fully funded: tuition + living + book + hostel + travel allowance,https://www.hec.gov.pk/english/scholarshipsgrants/amisp/Pages/default.aspx
Ministry of Religious Affairs - Minority Merit Scholarship,Ministry of Religious Affairs & Interfaith Harmony,Federal / National,Merit-based,Government,Minority (non-Muslim) students,,,Scholarship on merit; amounts not fully published,https://mora.gov.pk/JobDetail/ODg0N2I0NDAtODZmNi00NjlhLWFlMGYtY2M3YzNlM2Y4MmVh
Prime Minister's Youth Laptop Scheme (PMYLS),PM Youth Programme / HEC,"Gilgit-Baltistan, Azad Jammu & Kashmir, Federal / National",Merit-based,Government,Public-sector university students meeting merit threshold,,,LAPTOP DISTRIBUTION ONLY - not a cash/tuition scholarship,https://laptop.pmyp.gov.pk
National Bank of Pakistan (NBP) Student Loan Scheme,"National Bank of Pakistan (govt-mandated, SBP oversight)",Federal / National,Merit-based,Government,Merit admission at public universities; min 70% in previous exam,,70,Interest-free loan: tuition/fees/books/boarding (repayable after studies),https://www.nbp.com.pk
