University,Program,Field,Merit,City
COMSATS Lahore,Chemical Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Civil Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Computer Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Electrical Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Electrical(Electronics) Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Electrical (Power) Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Mechanical Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Software Engineering,Undergraduate,75,Lahore
COMSATS Lahore,Data Sciences,Undergraduate,75,Lahore
FAST Lahore,BS (Computer Science),Undergraduate,75,Lahore
FAST Lahore,BS (Data Science),Undergraduate,75,Lahore
FAST Lahore,BS (Software Engineering),Undergraduate,75,Lahore
FAST Lahore,BS (Computer Engineering),Undergraduate,75,Lahore
FAST Lahore,BS (Electrical Engineering),Undergraduate,75,Lahore
FAST Lahore,BS (Computer Engineering),Undergraduate,75,Lahore
FAST Lahore,BS (Civil Engineering),Undergraduate,75,Lahore
FAST Lahore,BS (Business Analytics),Undergraduate,75,Lahore
GCU Faisalabad,Engineering & Technology,Undergraduate,65,Faisalabad
University of Education,BS Information Technology,Undergraduate,60,Lahore
University of Education,BS Computer Science,Undergraduate,60,Lahore
UAF Faisalabad,BS (Hons.)Animal Sciences,Undergraduate,70,Faisalabad
UAF Faisalabad,BS (Hons.)Dairy Sciences,Undergraduate,70,Faisalabad
UAF Faisalabad,B.Sc.(Hons)Agricultural Engineering,Undergraduate,70,Faisalabad
UAF Faisalabad,B.Sc.(Hons)Environmental Engineering,Undergraduate,70,Faisalabad
UAF Faisalabad,B.Sc.(Hons)Energy System Engineering,Undergraduate,70,Faisalabad
UAF Faisalabad,B.Sc.(Hons)Food Engineering,Undergraduate,70,Faisalabad
UAF Faisalabad,BS Information Technology,Undergraduate,70,Faisalabad
UAF Faisalabad,BS Computer Science,Undergraduate,70,Faisalabad
UAF Faisalabad,BS Software Engineering,Undergraduate,70,Faisalabad
UAF Faisalabad,Bachelor of Business administration(BBA),Undergraduate,70,Faisalabad
COMSATS Islamabad,Chemical Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Civil Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Computer Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Electrical Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Electrical(Electronics) Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Electrical (Power) Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Mechanical Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Software Engineering,Undergraduate,75,Islamabad
COMSATS Islamabad,Data Sciences,Undergraduate,75,Islamabad
FAST Islamabad,BS (Computer Science),Undergraduate,75,Islamabad
FAST Islamabad,BS (Data Science),Undergraduate,75,Islamabad
FAST Islamabad,BS (Software Engineering),Undergraduate,75,Islamabad
FAST Islamabad,BS (Computer Engineering),Undergraduate,75,Islamabad
FAST Islamabad,BS (Electrical Engineering),Undergraduate,75,Islamabad
FAST Islamabad,BS (Computer Engineering),Undergraduate,75,Islamabad
FAST Islamabad,BS (Civil Engineering),Undergraduate,75,Islamabad
FAST Islamabad,BS (Business Analytics),Undergraduate,75,Islamabad
Bahria University,Electrical Engineering,Undergraduate,70,Islamabad
Bahria University,Computer Engineering,Undergraduate,70,Islamabad
Bahria University,Software Engineering,Undergraduate,70,Islamabad
Bahria University,Bachelor of Business Administration,Undergraduate,70,Islamabad
Bahria University,Bachelor of Maritime Business & Management,Undergraduate,70,Islamabad
Bahria University,Bachelor of Electrical Engineering,Undergraduate,70,Islamabad
Bahria University,Bachelor of Electrical Engineering(Telecommunication),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science Robotics & Intelligent Systems (BS-RIS),Undergraduate,70,Islamabad
Bahria University,Bachelor of Computer Engineering,Undergraduate,70,Islamabad
Bahria University,Bachelor of Software Engineering,Undergraduate,70,Islamabad
Bahria University,Bachelor of Science (Computer Science),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science (Artificial Intelligence),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science (Information Technology),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science (Geology),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science (Geophysics),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science (Environmental Sciences),Undergraduate,70,Islamabad
Bahria University,Bachelor of Science Psychology,Undergraduate,70,Islamabad
Bahria University,Bachelor of Social Sciences,Undergraduate,70,Islamabad
IST Islamabad,Electrical Engineering,Undergraduate,70,Islamabad
IST Islamabad,Materials Science & Engineering,Undergraduate,70,Islamabad
IST Islamabad,Mechanical Engineering,Undergraduate,70,Islamabad
IST Islamabad,Avionics Engineering,Undergraduate,70,Islamabad
