name,city,province,sector,website_url
Abasyn University,Peshawar,,,https://www.abasyn.edu.pk/
Abbottabad University of Science and Technology,"Havelian, Abbottabad",,,https://www.ilmkidunya.com/colleges/abbottabad-university-of-science-and-technology-aust-abbottabad-merit-lists.aspx
Abdul Wali Khan University Mardan,Mardan,,,https://www.result.pk/merit-list/abdul-wali-khan-university-mardan/bba/mardan-latest/
Aga Khan University,Karachi,,,https://www.aku.edu/admissions/Documents/admission-information-BScM-ke.pdf
Air University,Islamabad,,,https://www.au.edu.pk/pages/admission/eligibility_criteria.aspx
Al-Hamd Islamic University,Quetta (also Islamabad campus),,,https://pmdc.org.pk/al-hamd-islamic-university-aiu-admission-guide/
Al-Karam International Institute,"Bhera, Sargodha District (also Al-Karam International University, Islamabad)",,,https://www.jobz.pk/al-karam-international-university-admission-in-bcs-mcs-and_admissions-21611.html
Al-Qadir University,"Sohawa, Jhelum",,,https://alqadir.edu.pk/criteria-bs-management/
Ali Institute of Education,Lahore,,,https://www.ilmkidunya.com/colleges/ali-institute-of-education-lahore-admission.aspx
Allama Iqbal Open University,Islamabad,,,https://moawin.pk/admission_details/1396
Aror University of Art Architecture Design & Heritage,"Rohri Bypass N-5, Sukkur",,,https://aror.edu.pk/admissions/
Baba Guru Nanak University,Nankana Sahib,,,https://hep.punjab.gov.pk/Publicprograms/institute_detail/?institute_id=865&subject_id=2791
Bacha Khan University,Charsadda,,,https://www.ilmkidunya.com/colleges/bacha-khan-university-charsadda-admission.aspx
Bahauddin Zakariya University,Multan,,,https://www.result.pk/colleges/bahauddin-zakariya-university-bzu-multan-merit-list.html
Bahria University,Islamabad,,,https://www.edumap.blog/2025/09/bahria-university-aggregate-calculator-for-medical-programs.html
Balochistan University of Engineering and Technology,Khuzdar,,,https://admissionscorner.com/buetk-khuzdar-admissions/
Balochistan University of IT Engineering and Management Sciences,Quetta,,,https://pmdc.org.pk/balochistan-university-of-information-technology-engineering-and-management-sciences-buitems-admission-guide/
Baltistan University,Skardu,,,https://uobs.edu.pk/admissions/
Baqai Medical University,Karachi,,,http://www.baqai.edu.pk/
